p1est	p2est	vest	yawest	yawrateest	p1meas	p2meas	p1	p2	v1_gt	v2_gt	NIS	sensor_type
2.58337	17.0738	5.01105	4.01032	0.443706	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0621298	0
2.42303	16.9063	4.94077	4.0187	0.420854	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.0501	1
2.25935	16.7339	4.93285	4.03256	0.413746	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.527294	0
2.08828	16.5374	4.92384	4.04416	0.398269	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.01093	1
1.9314	16.3077	4.96267	4.07084	0.404422	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.22458	0
1.77938	16.1306	4.91398	4.07931	0.386893	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.11884	1
1.57707	15.9605	4.9474	4.0729	0.360219	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.9398	0
1.44514	15.7315	5.00249	4.10811	0.385055	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	1.88419	1
1.27253	15.5131	5.04642	4.11938	0.376232	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.838785	0
1.11942	15.3198	5.02884	4.12774	0.363066	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.05244	1
0.909341	15.1001	5.10946	4.1235	0.339033	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	2.57398	0
0.768981	14.9191	5.0381	4.12785	0.319534	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.68947	1
0.662606	14.7053	5.01132	4.15481	0.331066	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.350676	0
0.546991	14.4657	5.05657	4.18624	0.351659	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.60733	1
0.37353	14.2429	5.10509	4.18794	0.334795	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.976774	0
0.247085	13.9922	5.19321	4.21759	0.357196	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	2.99739	1
0.224938	13.7459	5.12244	4.27305	0.396603	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	3.6774	0
0.118303	13.5033	5.16767	4.29819	0.406628	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	1.04289	1
-0.0446745	13.2718	5.21247	4.29559	0.382253	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.35258	0
-0.160228	13.0531	5.16431	4.30304	0.365365	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	1.09572	1
